user_id,avg_daily_sessions,avg_daily_events,avg_unique_apps,avg_night_ratio,avg_session_duration,avg_short_session_ratio,avg_top_app_ratio,avg_entropy,avg_reopening_index,avg_inter_session,std_daily_sessions,max_daily_sessions,days_monitored,escalation_rate,risk_label,risk_name
50,32.19047619047619,2644.9523809523807,9.952380952380953,0.22244593083181524,202.2946938889584,0.29524602944086215,0.46137869383682845,1.4328829288641625,0.8726381739797802,46.66226907460311,8.394158966918887,47.0,21,0.9253731343283582,2,HIGH
51,5.333333333333333,96.66666666666667,4.0,0.37969030629581085,173.67857142857142,0.047619047619047616,0.5770108247172467,1.0087771124832576,0.8293892269551498,144.7201851851852,2.081665999466133,7.0,3,1.0,1,MEDIUM
52,11.166666666666666,162.33333333333334,7.333333333333333,0.143284259144707,231.55102564102563,0.26085470085470086,0.4930319493964584,1.4350495374155203,0.6733031674208144,142.70378991060025,10.028293307770104,30.0,6,0.5227272727272728,1,MEDIUM
53,2.0,12.25,3.5,0.0,140.75,0.08333333333333333,0.5284090909090909,1.054208973391754,0.19047619047619047,39.791666666666664,1.4142135623730951,4.0,4,0.6,0,LOW
54,30.428571428571427,812.4285714285714,14.571428571428571,0.25688948338906364,327.35249195249196,0.1489197893609658,0.27616557690971044,2.064144840978457,0.7640158362314813,44.678004462376414,20.337626400813043,54.0,7,0.6637168141592921,2,HIGH
55,19.75,342.25,12.5,0.1471075307423032,342.13690476190476,0.07738095238095238,0.33030905378519915,1.9334261985327363,0.7017949809918216,48.468535097597595,14.773286702694158,38.0,4,0.25396825396825395,1,MEDIUM
56,9.0,1259.0,5.5,0.0,302.72222222222223,0.3888888888888889,0.8882447447708947,0.5006099207424145,0.9787100804712252,35.00729166666666,0.0,9.0,2,1.0,1,MEDIUM
57,21.5,377.0,12.0,0.28809523809523807,336.2402597402598,0.08116883116883117,0.23535539215686274,2.123210455573156,0.5279943302622254,36.86485416666667,6.363961030678928,26.0,2,1.0,1,MEDIUM
58,9.333333333333334,148.38095238095238,4.857142857142857,0.16492051876316421,110.99393906358193,0.45732587518301804,0.47263895703674497,1.2121584706157917,0.6319989479772733,117.05700115147069,5.867992274477986,22.0,21,0.6269592476489029,1,MEDIUM
59,19.5,7464.0,15.0,0.2857142857142857,941.0528571428572,0.20285714285714285,0.418778623640359,1.8136133002876087,0.9268282767546758,45.04431089743589,7.7781745930520225,25.0,2,1.0,1,MEDIUM
60,14.411764705882353,328.2352941176471,7.823529411764706,0.666024781481992,355.2360470748014,0.15045661758464526,0.6081884771317492,1.1739962267500683,0.8284597797478136,77.58464973292692,5.690549441062477,23.0,17,1.1851851851851851,1,MEDIUM
61,31.727272727272727,3955.090909090909,12.636363636363637,0.2950548620532965,724.990187038376,0.057571095183671976,0.4371259486454493,1.639167694705849,0.8295071431737678,54.02271315191172,14.471288187932055,47.0,11,1.1317567567567568,2,HIGH
62,8.428571428571429,225.14285714285714,6.0,0.09945914648106438,274.94761904761907,0.24761904761904763,0.4905624404357424,1.2909492241677463,0.7245984773772606,142.92930117501547,3.2071349029490928,12.0,7,1.02,1,MEDIUM
63,15.0,239.4,9.6,0.015209328258708882,123.77529411764706,0.10196078431372549,0.28746984478561644,1.7593944207110055,0.5936402586963415,42.25301343813388,10.8397416943394,30.0,5,2.111111111111111,1,MEDIUM
64,39.61538461538461,2764.923076923077,13.615384615384615,0.362140130499007,410.01974907505985,0.19580049147421352,0.46334965149838186,1.5339657992538773,0.8901313206069208,26.583539373840797,15.267276888487467,61.0,13,0.9372822299651569,2,HIGH
65,3.0,186.0,2.0,0.9623655913978495,400.5,0.0,0.989247311827957,0.05943229865313004,0.978494623655914,682.1666666666666,0.0,3.0,1,1.0,2,HIGH
66,12.5,403.5,10.0,0.5146341463414634,641.4782608695652,0.1956521739130435,0.2611280487804878,1.9442726289818526,0.8646399456521738,40.03371212121211,14.849242404917497,23.0,2,1.0,1,MEDIUM
67,44.84615384615385,2507.4615384615386,14.692307692307692,0.36250613758850814,339.59985043935365,0.273545079594435,0.3664682398466326,1.8975443246795807,0.8437965420261933,25.277809035825747,17.155398343019968,61.0,13,0.6525679758308157,2,HIGH
68,27.846153846153847,9649.23076923077,16.53846153846154,0.03048437473739368,501.09322311605746,0.2872170671015429,0.5545762096390426,1.5339273067942547,0.9425320701299719,40.685127400399594,9.779622980515438,39.0,13,1.157699443413729,1,MEDIUM
69,21.5,1405.5,11.0,0.29822834645669294,260.76195652173914,0.358695652173913,0.4325364135323906,1.6344474103104787,0.9418555605233632,31.924780701754386,2.1213203435596424,23.0,2,1.0,1,MEDIUM
70,29.666666666666668,654.3333333333334,9.333333333333334,0.32263473766004047,175.70219033955047,0.2559923481587757,0.40614876418557017,1.6197532379118982,0.8064432203323385,40.44924663299664,9.865765724632496,41.0,3,1.0,1,MEDIUM
71,43.588235294117645,7097.941176470588,14.588235294117647,0.2910413277562288,580.0308313004215,0.12336591028757746,0.525054587327802,1.4574185590875575,0.9313480392037827,30.680288836348414,12.782110660652899,55.0,17,1.0483660130718955,2,HIGH
72,15.5,464.0,10.0,0.03341584158415842,232.93846153846155,0.07692307692307693,0.42136963696369634,1.6249571820021256,0.876979093258163,30.491416666666666,14.849242404917497,26.0,2,1.0,0,LOW
73,18.166666666666668,587.5,8.5,0.23087491241093863,320.593776106934,0.28270676691729324,0.5283105576590067,1.4100522532572917,0.7362478550262076,56.45429955636217,9.806460455570432,30.0,6,0.7580645161290321,1,MEDIUM
